judul,link,ringkasan,tanggal_publikasi,sumber,kata_kunci,domain,lokasi_kejadian,jenis_bencana,judul_bersih,datetime_utc,datetime_wib,datetime_wib_excel,tanggal_wib,waktu_wib,status_verifikasi,is_bencana,verified_by,verified_at,notes
"Sejumlah Lokasi di Pakpak Bharat Terjadi Tanah Longsor, Jalan Lintas Provinsi Sumatera Utara – Aceh Lumpuh Total - Karosatuklik.com",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPU0lVN0JEQ3RRRmgwczRacmJ1ck5IVjN4clF2R3hIN3N1TFpEZlFScE9ZcVBGV3kxeUpjSEdOUG0zZW9DcjFUdTZDTlNsd1FoRjUxb1JBS1ozTG92UlZKbHJTOGdRcVgtOVpaazVtZXZHSFJDQzl0WDBPRWdHVWpmSl85UjlVeFhTRk1DYmpCRU5TTUQwVkRYcHhTWS1rRGZuelZDQ2duMWxzcTE2Vkd3WnVXTExZbUFjVmg5THd4ZTZZaHVfWGtVZVk0Z3BrVlkz0gHWAUFVX3lxTE9YYmtxOHJqR1ZZQWlxWU1SeTFGWVUzS09mb2tfRVZPRVlUdHZoOE95Z3RoVVBMc0lmcUstT21oZVJIMk9VazdzYkhhclVLdnJvSWd4Tk1KREcwUUd3OWttOExjQjkyZXFMVGFxemV1Nk5aX280TFdBa2hpT21tY0NrVlRRWTBJZjVuMXpIMU91VkVsaXB3WjJYV0pwa1dYY1BBR3dCZmQzLTVyNS1tcmFVWEtONU8yZ1FLSExNVVpVZ3VmblZjVUdTRzhsQTAzcGFGbk9nMGc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPU0lVN0JEQ3RRRmgwczRacmJ1ck5IVjN4clF2R3hIN3N1TFpEZlFScE9ZcVBGV3kxeUpjSEdOUG0zZW9DcjFUdTZDTlNsd1FoRjUxb1JBS1ozTG92UlZKbHJTOGdRcVgtOVpaazVtZXZHSFJDQzl0WDBPRWdHVWpmSl85UjlVeFhTRk1DYmpCRU5TTUQwVkRYcHhTWS1rRGZuelZDQ2duMWxzcTE2Vkd3WnVXTExZbUFjVmg5THd4ZTZZaHVfWGtVZVk0Z3BrVlkz0gHWAUFVX3lxTE9YYmtxOHJqR1ZZQWlxWU1SeTFGWVUzS09mb2tfRVZPRVlUdHZoOE95Z3RoVVBMc0lmcUstT21oZVJIMk9VazdzYkhhclVLdnJvSWd4Tk1KREcwUUd3OWttOExjQjkyZXFMVGFxemV1Nk5aX280TFdBa2hpT21tY0NrVlRRWTBJZjVuMXpIMU91VkVsaXB3WjJYV0pwa1dYY1BBR3dCZmQzLTVyNS1tcmFVWEtONU8yZ1FLSExNVVpVZ3VmblZjVUdTRzhsQTAzcGFGbk9nMGc?oc=5"" target=""_blank"">Sejumlah Lokasi di Pakpak Bharat Terjadi Tanah Longsor, Jalan Lintas Provinsi Sumatera Utara – Aceh Lumpuh Total</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Karosatuklik.com</font>",2025-11-26T12:13:17+00:00,Karosatuklik.com,tanah longsor,news.google.com,Sumatera Utara,Tanah Longsor,sejumlah lokasi di pakpak bharat terjadi tanah longsor jalan lintas provinsi sumatera utara aceh lumpuh total karosatuklik com,2025-11-26 12:13:17+00:00,2025-11-26 19:13:17+07:00,26-11-2025 19:13:17,26-11-2025,19:13:17,UNVERIFIED,,,,
Menu Telur Puyuh Diduga Picu Keracunan MBG di Kedunggalar Ngawi - beritajatim.com,https://news.google.com/rss/articles/CBMikAFBVV95cUxQTGVja21FYU9GYjc2RmV1TnljaEgtakp3T1gxRC1IWnRZdGtndG1fUzBHZlo2enp4RERoN1I4OFRwZmRzWWJDajU0eWItTXlLY1gyN0F4WlpjYmhGdEdXeEdGTUc5Mm1qLVRnY1o3NkU5QmEtdmxLeUJZdnRselJZaWk3VkFNTzU0eUZhM1NHWnc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxQTGVja21FYU9GYjc2RmV1TnljaEgtakp3T1gxRC1IWnRZdGtndG1fUzBHZlo2enp4RERoN1I4OFRwZmRzWWJDajU0eWItTXlLY1gyN0F4WlpjYmhGdEdXeEdGTUc5Mm1qLVRnY1o3NkU5QmEtdmxLeUJZdnRselJZaWk3VkFNTzU0eUZhM1NHWnc?oc=5"" target=""_blank"">Menu Telur Puyuh Diduga Picu Keracunan MBG di Kedunggalar Ngawi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">beritajatim.com</font>",2025-11-26T12:11:10+00:00,beritajatim.com,keracunan,news.google.com,Ngawi,Lainnya,menu telur puyuh diduga picu keracunan mbg di kedunggalar ngawi beritajatim com,2025-11-26 12:11:10+00:00,2025-11-26 19:11:10+07:00,26-11-2025 19:11:10,26-11-2025,19:11:10,UNVERIFIED,,,,
"Update Banjir Aceh, 9 daerah terendam banjir dan 1.497 orang mengungsi - ANTARA News Aceh",https://news.google.com/rss/articles/CBMirwFBVV95cUxNaUlkQWdkOExxa3Z6N0lISzZ1MkhyMERZdmhWMGdEYzV3NlV2ODB6akxibDBiY3BxSDlqUzJwY3hnNDNpOGJQMEM2ZDFBVHA0VllxaGc3TkpwS3diM2JoZ0t4eVd4SUVsWVFCeU9FRHplRE9SSzczOWxqTUlkdTFJbGxZczRSblFQalhKVG95dERZMUlZaXlEVnYyOFAyMFFreER6SFdBeEZOem9oVGpj0gG0AUFVX3lxTE9Dbm5PQ0laR04xRW9EeDVpNEQ3WWFpRjVIVVoxU01INzZpTVFVWGxjVlFvdFp6dWgyek5nXy04SXBBTmJYdE0yTU1xNkh1VG1NUUliOTZuVGJZR3RUUFpycm1DY1owNXBCT1BOYnVfZVN5aWJHRDBfS3liZkdRam9jdllKS0w1Z01FQk5DRlhTaFk3M1ItTmIwM0JlakM5SnRvUlNHTHZmVEVzazlKaWRvREhjSA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxNaUlkQWdkOExxa3Z6N0lISzZ1MkhyMERZdmhWMGdEYzV3NlV2ODB6akxibDBiY3BxSDlqUzJwY3hnNDNpOGJQMEM2ZDFBVHA0VllxaGc3TkpwS3diM2JoZ0t4eVd4SUVsWVFCeU9FRHplRE9SSzczOWxqTUlkdTFJbGxZczRSblFQalhKVG95dERZMUlZaXlEVnYyOFAyMFFreER6SFdBeEZOem9oVGpj0gG0AUFVX3lxTE9Dbm5PQ0laR04xRW9EeDVpNEQ3WWFpRjVIVVoxU01INzZpTVFVWGxjVlFvdFp6dWgyek5nXy04SXBBTmJYdE0yTU1xNkh1VG1NUUliOTZuVGJZR3RUUFpycm1DY1owNXBCT1BOYnVfZVN5aWJHRDBfS3liZkdRam9jdllKS0w1Z01FQk5DRlhTaFk3M1ItTmIwM0JlakM5SnRvUlNHTHZmVEVzazlKaWRvREhjSA?oc=5"" target=""_blank"">Update Banjir Aceh, 9 daerah terendam banjir dan 1.497 orang mengungsi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ANTARA News Aceh</font>",2025-11-26T12:08:55+00:00,ANTARA News Aceh,banjir,news.google.com,Aceh,Banjir,update banjir aceh 9 daerah terendam banjir dan 1 497 orang mengungsi antara news aceh,2025-11-26 12:08:55+00:00,2025-11-26 19:08:55+07:00,26-11-2025 19:08:55,26-11-2025,19:08:55,UNVERIFIED,,,,
"Angin Kencang Tumbangkan Pohon dan Tiang Listrik di Aceh Tamiang, Atap Rumah Berterbangan - Serambinews.com",https://news.google.com/rss/articles/CBMizAFBVV95cUxQaDEwUHhIcmF3N0hwaWRDeGM2TlVDdUp6ZEMwLWhyRlJFczVJN24wcXBpckNURFJKZTRTN3hPbHBDQXRSX0x5T0djb0ZFNkZEcmFvWjR1N05ROWFBbXNvNm9Qd0ZjSE5RdzB1SXdNZ2dOSmt6WW5DQ3Bpc3VJR1VnaXlra05FZmFwRnlaTkNUUnNXSW12NzhvVmFuMGlZamZFbjFQNndrTEJOQ19hSWJ0bkV2M1h2cHhRSlNVa0xnVWVaU1BFWExmSElQTEU?oc=5,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxQaDEwUHhIcmF3N0hwaWRDeGM2TlVDdUp6ZEMwLWhyRlJFczVJN24wcXBpckNURFJKZTRTN3hPbHBDQXRSX0x5T0djb0ZFNkZEcmFvWjR1N05ROWFBbXNvNm9Qd0ZjSE5RdzB1SXdNZ2dOSmt6WW5DQ3Bpc3VJR1VnaXlra05FZmFwRnlaTkNUUnNXSW12NzhvVmFuMGlZamZFbjFQNndrTEJOQ19hSWJ0bkV2M1h2cHhRSlNVa0xnVWVaU1BFWExmSElQTEU?oc=5"" target=""_blank"">Angin Kencang Tumbangkan Pohon dan Tiang Listrik di Aceh Tamiang, Atap Rumah Berterbangan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Serambinews.com</font>",2025-11-26T12:06:51+00:00,Serambinews.com,angin kencang,news.google.com,Aceh,Angin Kencang,angin kencang tumbangkan pohon dan tiang listrik di aceh tamiang atap rumah berterbangan serambinews com,2025-11-26 12:06:51+00:00,2025-11-26 19:06:51+07:00,26-11-2025 19:06:51,26-11-2025,19:06:51,UNVERIFIED,,,,
BNPB Dampingi Penanganan Darurat Bencana Banjir dan Longsor di Sumatera Utara - Badan Nasional Penanggulangan Bencana,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPeXRRVW9UZXJHS21xa0VSRmFHWHhjWXMwbklZc3Q3cGVSLXY2SVIyNUktOGZ4Q0RkYnowRnZCSm5vZko1S3dFWUFuTEN3UWlEc1N4dGZLTUJRM3F3ell4amU4by1UQWNNU1JvQ2NqYmZidmhCYkNTSWY2emtNZUtBX1Q3a21UY1RLOWtpWVVjOXUybnR5aUJFNXBRVnRGMkJBaE5DUmtNSnNqc0k?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxPeXRRVW9UZXJHS21xa0VSRmFHWHhjWXMwbklZc3Q3cGVSLXY2SVIyNUktOGZ4Q0RkYnowRnZCSm5vZko1S3dFWUFuTEN3UWlEc1N4dGZLTUJRM3F3ell4amU4by1UQWNNU1JvQ2NqYmZidmhCYkNTSWY2emtNZUtBX1Q3a21UY1RLOWtpWVVjOXUybnR5aUJFNXBRVnRGMkJBaE5DUmtNSnNqc0k?oc=5"" target=""_blank"">BNPB Dampingi Penanganan Darurat Bencana Banjir dan Longsor di Sumatera Utara</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Badan Nasional Penanggulangan Bencana</font>",2025-11-26T12:01:00+00:00,Badan Nasional Penanggulangan Bencana,tanah longsor,news.google.com,Sumatera Utara,Banjir,bnpb dampingi penanganan darurat bencana banjir dan longsor di sumatera utara badan nasional penanggulangan bencana,2025-11-26 12:01:00+00:00,2025-11-26 19:01:00+07:00,26-11-2025 19:01:00,26-11-2025,19:01:00,UNVERIFIED,,,,
"Gempa Tektonik Kejutkan Warga Maluku Tenggara Barat, Ini Penjelasan BMKG - Konteks.co.id - Konteks.co.id",https://news.google.com/rss/articles/CBMitgFBVV95cUxPa2pOU0xOWU9tM2E4cEE1bkstVXlXYUFFZjRkSnpSTlQ4SXdEVU5Bbk02UWRPcXpkeDVaakFlQ2U4S2JzS1pYazJkYWxVNzBET2xUTkFldHVyZS05R3B0TDlUY1F6WEdLMDhPMzktN3otUjBTeVRjRlBSZ3o4YnkwWkNuQThKVHZIRUcyTnJKeUNMVjVLNEZTZkJmRFNMQTQxaExNLWlUd2hhUmJWWEJnOUF0ZjIxUdIBuwFBVV95cUxNWUJwNXBIRGFNUGI1aHUyNmYyQVJ5TlJxdExWTWJlM21JS19NcmZacm5VTENnV3V0VFhfS3FUQ3l6Z3NEWU5ma0RqcE5LbjZJalhHRExXU0ZSQ2kyVVN5dVRXYWFHNGszUGxKRTFwNUlYUVJEdV9IOHNVREJ6TWxDamc0SEZGUENvd0djTVlSZkoxbEhBek9yVnVMYzM5MXFOR3laNjNXbDRIUmdzZmgxRE1FYVlwZGVrU3Rv?oc=5,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxPa2pOU0xOWU9tM2E4cEE1bkstVXlXYUFFZjRkSnpSTlQ4SXdEVU5Bbk02UWRPcXpkeDVaakFlQ2U4S2JzS1pYazJkYWxVNzBET2xUTkFldHVyZS05R3B0TDlUY1F6WEdLMDhPMzktN3otUjBTeVRjRlBSZ3o4YnkwWkNuQThKVHZIRUcyTnJKeUNMVjVLNEZTZkJmRFNMQTQxaExNLWlUd2hhUmJWWEJnOUF0ZjIxUdIBuwFBVV95cUxNWUJwNXBIRGFNUGI1aHUyNmYyQVJ5TlJxdExWTWJlM21JS19NcmZacm5VTENnV3V0VFhfS3FUQ3l6Z3NEWU5ma0RqcE5LbjZJalhHRExXU0ZSQ2kyVVN5dVRXYWFHNGszUGxKRTFwNUlYUVJEdV9IOHNVREJ6TWxDamc0SEZGUENvd0djTVlSZkoxbEhBek9yVnVMYzM5MXFOR3laNjNXbDRIUmdzZmgxRE1FYVlwZGVrU3Rv?oc=5"" target=""_blank"">Gempa Tektonik Kejutkan Warga Maluku Tenggara Barat, Ini Penjelasan BMKG - Konteks.co.id</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Konteks.co.id</font>",2025-11-26T12:00:17+00:00,Konteks.co.id,gempa bumi,news.google.com,Maluku,Gempa Bumi,gempa tektonik kejutkan warga maluku tenggara barat ini penjelasan bmkg konteks co id konteks co id,2025-11-26 12:00:17+00:00,2025-11-26 19:00:17+07:00,26-11-2025 19:00:17,26-11-2025,19:00:17,UNVERIFIED,,,,
"Gempa Tektonik Kejutkan Warga Maluku Tenggara Barat, Ini Penjelasan BMKG - Konteks.co.id - Konteks.co.id",https://news.google.com/rss/articles/CBMiuwFBVV95cUxNWUJwNXBIRGFNUGI1aHUyNmYyQVJ5TlJxdExWTWJlM21JS19NcmZacm5VTENnV3V0VFhfS3FUQ3l6Z3NEWU5ma0RqcE5LbjZJalhHRExXU0ZSQ2kyVVN5dVRXYWFHNGszUGxKRTFwNUlYUVJEdV9IOHNVREJ6TWxDamc0SEZGUENvd0djTVlSZkoxbEhBek9yVnVMYzM5MXFOR3laNjNXbDRIUmdzZmgxRE1FYVlwZGVrU3Rv0gG7AUFVX3lxTE1ZQnA1cEhEYU1QYjVodTI2ZjJBUnlOUnF0TFZNYmUzbUlLX01yZlpyblVMQ2dXdXRUWF9LcVRDeXpnc0RZTmZrRGpwTktuNklqWEdETFdTRlJDaTJVU3l1VFdhYUc0azNQbEpFMXA1SVhRUkR1X0g4c1VEQnpNbENqZzRIRkZQQ293R2NNWVJmSjFsSEF6T3JWdUxjMzkxcU5HeVo2M1dsNEhSZ3NmaDFETUVhWXBkZWtTdG8?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxNWUJwNXBIRGFNUGI1aHUyNmYyQVJ5TlJxdExWTWJlM21JS19NcmZacm5VTENnV3V0VFhfS3FUQ3l6Z3NEWU5ma0RqcE5LbjZJalhHRExXU0ZSQ2kyVVN5dVRXYWFHNGszUGxKRTFwNUlYUVJEdV9IOHNVREJ6TWxDamc0SEZGUENvd0djTVlSZkoxbEhBek9yVnVMYzM5MXFOR3laNjNXbDRIUmdzZmgxRE1FYVlwZGVrU3Rv0gG7AUFVX3lxTE1ZQnA1cEhEYU1QYjVodTI2ZjJBUnlOUnF0TFZNYmUzbUlLX01yZlpyblVMQ2dXdXRUWF9LcVRDeXpnc0RZTmZrRGpwTktuNklqWEdETFdTRlJDaTJVU3l1VFdhYUc0azNQbEpFMXA1SVhRUkR1X0g4c1VEQnpNbENqZzRIRkZQQ293R2NNWVJmSjFsSEF6T3JWdUxjMzkxcU5HeVo2M1dsNEhSZ3NmaDFETUVhWXBkZWtTdG8?oc=5"" target=""_blank"">Gempa Tektonik Kejutkan Warga Maluku Tenggara Barat, Ini Penjelasan BMKG - Konteks.co.id</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Konteks.co.id</font>",2025-11-26T12:00:00+00:00,Konteks.co.id,tsunami,news.google.com,Maluku,Gempa Bumi,gempa tektonik kejutkan warga maluku tenggara barat ini penjelasan bmkg konteks co id konteks co id,2025-11-26 12:00:00+00:00,2025-11-26 19:00:00+07:00,26-11-2025 19:00:00,26-11-2025,19:00:00,UNVERIFIED,,,,
"Keracunan MBG di Ngawi, Wali Murid Tak Mau Anaknya Sentuh MBG Lagi - jatim.idntimes.com",https://news.google.com/rss/articles/CBMixgFBVV95cUxOQWQ1QzAzZGo0dHQxYzl4azE0cnJyZWYxVlhSUnBWdmU3dzhtbUswZndCN2tNWENUa3pZcjQ5Vk1XXzJXM2dSWGJESVNsdDFMYlJrUUt0LTNicmFqejhQMkFwUllYS0FQdk5EWmxabjN1SUsyd0ZsdF9NdGZXNjNlRlZDalptbF83OHB2eHNZSUJCeDM3aG00RnZSNGVsQ1dkOThaX1g2Z0ZhNl9kZUtVem5KbzV0VW5mbEVSTU5fVDJVdFZmRHfSAcsBQVVfeXFMUGp5emdVcHFYd191eTM1d0V0anhTYTdMdEktU09ZSVhfMlhaci1VdU03UkpSbFJVTkN6Q25VUEpZaHZJaXlVUVhYRExWUllTWlJzSzZkR0k4RU1FRGNpQktxeU9yanBleDU5c3hXRVVjTkVPWFp3bnR3WU1rWDVDNHhxd1VHSExSMGZNNWFncHlsUEtWZWxrVUk0ZlRKajl0OF9xQlhmc0NPTmxPSzNpTVJyUW1Hdmt2eko0aVFtc3NVVXNndFpkZXZhWTA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxOQWQ1QzAzZGo0dHQxYzl4azE0cnJyZWYxVlhSUnBWdmU3dzhtbUswZndCN2tNWENUa3pZcjQ5Vk1XXzJXM2dSWGJESVNsdDFMYlJrUUt0LTNicmFqejhQMkFwUllYS0FQdk5EWmxabjN1SUsyd0ZsdF9NdGZXNjNlRlZDalptbF83OHB2eHNZSUJCeDM3aG00RnZSNGVsQ1dkOThaX1g2Z0ZhNl9kZUtVem5KbzV0VW5mbEVSTU5fVDJVdFZmRHfSAcsBQVVfeXFMUGp5emdVcHFYd191eTM1d0V0anhTYTdMdEktU09ZSVhfMlhaci1VdU03UkpSbFJVTkN6Q25VUEpZaHZJaXlVUVhYRExWUllTWlJzSzZkR0k4RU1FRGNpQktxeU9yanBleDU5c3hXRVVjTkVPWFp3bnR3WU1rWDVDNHhxd1VHSExSMGZNNWFncHlsUEtWZWxrVUk0ZlRKajl0OF9xQlhmc0NPTmxPSzNpTVJyUW1Hdmt2eko0aVFtc3NVVXNndFpkZXZhWTA?oc=5"" target=""_blank"">Keracunan MBG di Ngawi, Wali Murid Tak Mau Anaknya Sentuh MBG Lagi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">jatim.idntimes.com</font>",2025-11-26T11:59:00+00:00,jatim.idntimes.com,keracunan,news.google.com,Jatim,Lainnya,keracunan mbg di ngawi wali murid tak mau anaknya sentuh mbg lagi jatim idntimes com,2025-11-26 11:59:00+00:00,2025-11-26 18:59:00+07:00,26-11-2025 18:59:00,26-11-2025,18:59:00,UNVERIFIED,,,,
"Gempa Hari Ini di Jembrana Bali, Cek Magnitudonya! - iNews.ID",https://news.google.com/rss/articles/CBMigwFBVV95cUxNelhQb2NRdGhQenlRdWlTRjRVX1pTcVpRdUZnYjJoN1NqUDRORTdBYXFNS293RU9ENXZ1azhCOE5xWHhVc3NyV0M2TjltUS1yY1BlTWtPMmtnLWdtejJUdlh0Z3ZDN3lHbkVTQ1lSejVvMThFblNqRERkXzVycmg5WmdLWdIBiAFBVV95cUxOcURfdjE1WEhmZXF5MG9CdjNUbzdocjE3YXlaUTFINlBDUklGQlFOWlZ5MXFTbXRLQkdWSGlDdEpkajhCSS00dmhRMkVTNEtxbGxsMlNqcjBIRlZPT3JCT2tjUDY5WXpkQTBVRnJ1UGFzOUtKZDZaNHl2NXRGbjlUdHFFOHEtMVQx?oc=5,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxNelhQb2NRdGhQenlRdWlTRjRVX1pTcVpRdUZnYjJoN1NqUDRORTdBYXFNS293RU9ENXZ1azhCOE5xWHhVc3NyV0M2TjltUS1yY1BlTWtPMmtnLWdtejJUdlh0Z3ZDN3lHbkVTQ1lSejVvMThFblNqRERkXzVycmg5WmdLWdIBiAFBVV95cUxOcURfdjE1WEhmZXF5MG9CdjNUbzdocjE3YXlaUTFINlBDUklGQlFOWlZ5MXFTbXRLQkdWSGlDdEpkajhCSS00dmhRMkVTNEtxbGxsMlNqcjBIRlZPT3JCT2tjUDY5WXpkQTBVRnJ1UGFzOUtKZDZaNHl2NXRGbjlUdHFFOHEtMVQx?oc=5"" target=""_blank"">Gempa Hari Ini di Jembrana Bali, Cek Magnitudonya!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">iNews.ID</font>",2025-11-26T11:59:00+00:00,iNews.ID,gempa bumi,news.google.com,Jembrana,Gempa Bumi,gempa hari ini di jembrana bali cek magnitudonya inews id,2025-11-26 11:59:00+00:00,2025-11-26 18:59:00+07:00,26-11-2025 18:59:00,26-11-2025,18:59:00,UNVERIFIED,,,,
Ahli Gizi Dapur Bolonga Beberkan Indikasi Penyebab Keracunan MBG di Ngada - Pos-kupang.com,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNVkN0U05tak5NZ084dXZ4bEN3bHBxWFVDekN5c1pmOFBfSVVxMjl5TjlNeWJkWTBPZlFNSkdHV0pOV0pNNS1JRGtycG16aXhXOFJ5c056UGRYT0dsQWtZdFMtQ2k2LXZJQ3dpQTFCazhRTDh5Mm5BMEhwcFd5RGdORlRwRjZCek1Db3ZadUR3SnlUanBVTjBxMUpqd00yOGhOXzd2ODA3N084UTNWNzlCMll2U0hpa3hkMmFSYXFQOHE?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxNVkN0U05tak5NZ084dXZ4bEN3bHBxWFVDekN5c1pmOFBfSVVxMjl5TjlNeWJkWTBPZlFNSkdHV0pOV0pNNS1JRGtycG16aXhXOFJ5c056UGRYT0dsQWtZdFMtQ2k2LXZJQ3dpQTFCazhRTDh5Mm5BMEhwcFd5RGdORlRwRjZCek1Db3ZadUR3SnlUanBVTjBxMUpqd00yOGhOXzd2ODA3N084UTNWNzlCMll2U0hpa3hkMmFSYXFQOHE?oc=5"" target=""_blank"">Ahli Gizi Dapur Bolonga Beberkan Indikasi Penyebab Keracunan MBG di Ngada</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pos-kupang.com</font>",2025-11-26T11:56:08+00:00,Pos-kupang.com,keracunan,news.google.com,Kupang,Lainnya,ahli gizi dapur bolonga beberkan indikasi penyebab keracunan mbg di ngada pos kupang com,2025-11-26 11:56:08+00:00,2025-11-26 18:56:08+07:00,26-11-2025 18:56:08,26-11-2025,18:56:08,UNVERIFIED,,,,
Sat Brimob Intensifkan Patroli Rumah Warga Terdampak Erupsi Semeru yang Ditinggal Mengungsi di Lumajang - Radar Surabaya - Radar Surabaya,https://news.google.com/rss/articles/CBMi6AFBVV95cUxOck0zYjJQQ1BwdXZkQXpIXzJNSzVhRV9hUzhfeEN1N25LMUJsLUY0QjZfNWNHZ183OEFEbjhSS0RQVTExVkxUQVM5SGJQRmRydm9wSTRTb0ktYlZCTXpkUmFmTFBMLUdkSFUwSGh2d0phLWJSUjVQVDBMS3BvMkNqY3BSZURxbzF5MUswNGVrUjJrMENNT0NHSkpVOVJqRG9rckVkeE5zZmJ1WlJocV9ZU1ZNSVNrWkc3cmxKZ3BmTkh0YmFtek15Qkp2QkRQOVhQa3J0c3RQclNZcS1DQUhmTmxSTFQ0aTBE0gHuAUFVX3lxTE1qblZMaXNMWjBrVXVNTFpFdlVqTm0zdjNCbzUtWWNPT29EUWI5NFhLZnFyR25pd01xaUhvYlRCUjg2VHNHb05lSTFLM0JiT1VPTGktNjJtSG54eGl1a0RUanAzbnZMWTFTdHlxNWNJeGc0VU1tQWZES2dMaFoxTjFjNmh1NFdCaWR0UDkta250eVMwVzlmNGZYV2dIVS1hNEY1d1oxVmhsUmx3eWxnajRLaGp1NnNyVWozMlhwSGhlNG50Nkh6UDVmeXVxZDlhblpqWlhRa2FnMFp2S2pWS1FFR2ZYM0NnOUFpYk9uMGc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxOck0zYjJQQ1BwdXZkQXpIXzJNSzVhRV9hUzhfeEN1N25LMUJsLUY0QjZfNWNHZ183OEFEbjhSS0RQVTExVkxUQVM5SGJQRmRydm9wSTRTb0ktYlZCTXpkUmFmTFBMLUdkSFUwSGh2d0phLWJSUjVQVDBMS3BvMkNqY3BSZURxbzF5MUswNGVrUjJrMENNT0NHSkpVOVJqRG9rckVkeE5zZmJ1WlJocV9ZU1ZNSVNrWkc3cmxKZ3BmTkh0YmFtek15Qkp2QkRQOVhQa3J0c3RQclNZcS1DQUhmTmxSTFQ0aTBE0gHuAUFVX3lxTE1qblZMaXNMWjBrVXVNTFpFdlVqTm0zdjNCbzUtWWNPT29EUWI5NFhLZnFyR25pd01xaUhvYlRCUjg2VHNHb05lSTFLM0JiT1VPTGktNjJtSG54eGl1a0RUanAzbnZMWTFTdHlxNWNJeGc0VU1tQWZES2dMaFoxTjFjNmh1NFdCaWR0UDkta250eVMwVzlmNGZYV2dIVS1hNEY1d1oxVmhsUmx3eWxnajRLaGp1NnNyVWozMlhwSGhlNG50Nkh6UDVmeXVxZDlhblpqWlhRa2FnMFp2S2pWS1FFR2ZYM0NnOUFpYk9uMGc?oc=5"" target=""_blank"">Sat Brimob Intensifkan Patroli Rumah Warga Terdampak Erupsi Semeru yang Ditinggal Mengungsi di Lumajang - Radar Surabaya</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Radar Surabaya</font>",2025-11-26T11:55:49+00:00,Radar Surabaya,erupsi,news.google.com,Surabaya,Erupsi Gunung Api,sat brimob intensifkan patroli rumah warga terdampak erupsi semeru yang ditinggal mengungsi di lumajang radar surabaya radar surabaya,2025-11-26 11:55:49+00:00,2025-11-26 18:55:49+07:00,26-11-2025 18:55:49,26-11-2025,18:55:49,UNVERIFIED,,,,
